ID;Traditional;Simplified;Pinyin;Meaning
364;聽寫;听写;tīngxiě;dictation
365;同學;同学;tóngxué;classmate
366;圖書館;图书馆;túshūguǎn;library
367;外;外;wài;outside
368;外邊;外边;wàibian;outside
369;外國;外国;wàiguó;foreign
370;外語;外语;wàiyǔ;foreign languages
371;玩兒;玩儿;wánr;play
372;晚;晚;wǎn;night
373;晚飯;晚饭;wǎnfàn;dinner
374;晚上;晚上;wǎnshang;night
375;網上;网上;wǎng shang;online
376;網友;网友;wǎngyǒu;netizens
377;忘;忘;wàng;forget
378;忘記;忘记;wàngjì;forgot
379;問;问;wèn;ask
380;我;我;wǒ;i
381;我們;我们;wǒmen;we
382;五;五;wǔ;five
383;午飯;午饭;wǔfàn;lunch
384;西;西;xī;west
385;西邊;西边;xībian;west
386;洗;洗;xǐ;wash
387;洗手間;洗手间;xǐshǒujiān;restroom
388;喜歡;喜欢;xǐhuan;like
389;下;下;xià;down
390;下班;下班;xiàbān;get off work
391;下邊;下边;xiàbian;below
392;下車;下车;xià chē;get off the bus
393;下次;下次;xià cì;next time
394;下課;下课;xiàkè;after class
395;下午;下午;xiàwǔ;afternoon
396;下雨;下雨;xià yǔ;rain
397;先;先;xiān;first
398;先生;先生;xiānsheng;gentlemen
399;現在;现在;xiànzài;now
400;想;想;xiǎng;think
401;小;小;xiǎo;small
402;小孩兒;小孩儿;xiǎoháir;children
403;小姐;小姐;xiǎojiě;miss
404;小朋友;小朋友;xiǎopéngyǒu;kid
405;小時;小时;xiǎoshí;hour
406;小學;小学;xiǎoxué;primary school
407;小學生;小学生;xiǎoxuéshēng;primary school students
408;笑;笑;xiào;laugh
409;寫;写;xiě;write
410;謝謝;谢谢;xièxie;thank you
411;新;新;xīn;new
412;新年;新年;xīnnián;new year
413;星期;星期;xīngqī;week
414;星期日;星期日;xīngqīrì;sunday
415;星期天;星期天;xīngqītiān;sunday
416;行;行;xíng;ok
417;休息;休息;xiūxi;rest
418;學;学;xué;learn
419;學生;学生;xuéshēng;student
420;學習;学习;xuéxí;learn
421;學校;学校;xuéxiào;school
422;學院;学院;xuéyuàn;college
423;要;要;yào;want
424;爺爺;爷爷;yéye;grandpa
425;也;也;yě;also
426;頁;页;yè;page
427;一;一;yī;one
428;衣服;衣服;yīfu;clothing
429;醫生;医生;yīshēng;doctor
430;醫院;医院;yīyuàn;hospital
431;一半;一半;yībàn;half
432;一會兒;一会儿;yīhuìr;a while
433;一塊兒;一块儿;yīkuàir;one piece
434;一下兒;一下儿;yīxiàr;a little bit
435;一樣;一样;yīyàng;same
436;一邊;一边;yībiān;on one side
437;一點兒;一点儿;yīdiǎnr;a little
438;一起;一起;yīqǐ;together
439;一些;一些;yīxiē;some
440;用;用;yòng;use
441;有;有;yǒu;have
442;有的;有的;yǒude;some
443;有名;有名;yǒumíng;famous
444;有時候;有时候;yǒushíhou;sometimes
445;有一些;有一些;yǒuyīxiē;some
446;有用;有用;yǒuyòng;it works
447;右;右;yòu;right
448;右邊;右边;yòubian;right
449;雨;雨;yǔ;rain
450;元;元;yuán;yuan
451;遠;远;yuǎn;far
452;月;月;yuè;moon
453;再;再;zài;again
454;再見;再见;zàijiàn;goodbye
455;在;在;zài;exist
456;在家;在家;zàijiā;at home
457;早;早;zǎo;morning
458;早飯;早饭;zǎofàn;breakfast
459;早上;早上;zǎoshang;morning
460;怎麼;怎么;zěnme;how
461;站;站;zhàn;stand
462;找;找;zhǎo;try to find
463;找到;找到;zhǎodào;turn up
464;這;这;zhè;this
465;這邊;这边;zhèbiān;here
466;這裡;这里;zhèlǐ;here
467;這兒;这儿;zhèr;here
468;這些;这些;zhèxiē;these
469;著;着;zhe;write
470;真;真;zhēn;real
471;真的;真的;zhēn de;real
472;正;正;zhèng;just
473;正在;正在;zhèngzài;in progress
474;知道;知道;zhīdào;know
475;知識;知识;zhīshi;knowledge
476;中;中;zhōng;middle
477;中國;中国;Zhōngguó;china
478;中間;中间;zhōngjiān;middle
479;中文;中文;Zhōngwén;chinese
480;中午;中午;zhōngwǔ;noon
481;中學;中学;zhōngxué;secondary school
482;中學生;中学生;zhōngxuéshēng;secondary school students
483;重;重;zhòng;heavy
484;重要;重要;zhòngyào;important
485;住;住;zhù;live
486;準備;准备;zhǔnbèi;prepare
487;桌子;桌子;zhuōzi;table
488;字;字;zì;character
489;子;子;zi;son
490;走;走;zǒu;walk
491;走路;走路;zǒulù;walk
492;最;最;zuì;most
493;最好;最好;zuìhǎo;most
494;最後;最后;zuìhòu;finally
495;昨天;昨天;zuótiān;yesterday
496;左;左;zuǒ;left
497;左邊;左边;zuǒbian;left
498;坐;坐;zuò;sit
499;坐下;坐下;zuò xia;sit down
500;做;做;zuò;do
501;啊;啊;a;ah
502;愛情;爱情;àiqíng;love
503;愛人;爱人;àiren;lover
504;安靜;安静;ānjìng;silent
505;安全;安全;ānquán;safety
506;白色;白色;báisè;white
507;班長;班长;bānzhǎng;class monitor
508;辦;办;bàn;辦
509;辦法;办法;bànfǎ;method
510;辦公室;办公室;bàngōngshì;office
511;半夜;半夜;bànyè;midnight
512;幫助;帮助;bāngzhù;help
513;飽;饱;bǎo;saturated
514;報名;报名;bàomíng;registration
515;報紙;报纸;bàozhǐ;newspapers
516;北方;北方;běifāng;north
517;背;背;bèi;back
518;比如;比如;bǐrú;for example
519;比如說;比如说;bǐrú shuō;for example
520;筆;笔;bǐ;pen
521;筆記;笔记;bǐjì;notes
522;筆記本;笔记本;bǐjìběn;notebook
523;必須;必须;bìxū;must
524;邊;边;biān;side
525;變;变;biàn;change
526;變成;变成;biànchéng;become
527;遍;遍;biàn;all over
528;表;表;biǎo;surface
529;表示;表示;biǎoshì;express
530;不錯;不错;bùcuò;nice
531;不但;不但;bùdàn;not only
532;不夠;不够;bùgòu;not enough
533;不過;不过;bùguò;however
534;不太;不太;bù tài;not really
535;不要;不要;bùyào;don't want
536;不好意思;不好意思;bù hǎoyìsi;excuse me
537;不久;不久;bùjiǔ;soon
538;不滿;不满;bùmǎn;dissatisfaction
539;不如;不如;bùrú;better
540;不少;不少;bù shǎo;many
541;不同;不同;bù tóng;different
542;不行;不行;bùxíng;no
543;不一定;不一定;bùyīdìng;uncertain
544;不會兒;不一会儿;bù yīhuìr;not long
545;部分;部分;bùfen;part
546;才;才;cái;talent
547;菜單;菜单;càidān;menu
548;參觀;参观;cānguān;visit
549;參加;参加;cānjiā;join
550;草;草;cǎo;grass
551;草地;草地;cǎodì;grassland
552;層;层;céng;layer
553;查;查;chá;check
554;差不多;差不多;chàbuduō;almost
555;長;长;cháng;long
556;常見;常见;cháng jiàn;common
557;常用;常用;cháng yòng;commonly used
558;場;场;chǎng;field
559;超過;超过;chāoguò;more than
560;超市;超市;chāoshì;supermarket
561;車輛;车辆;chēliàng;vehicles
562;稱1;称1;chēng;name 1
563;成;成;chéng;become
564;成績;成绩;chéngjì;achievement
565;成為;成为;chéngwéi;become
566;重複;重复;chóngfù;repeat
567;重新;重新;chóngxīn;again
568;出發;出发;chūfā;departure
569;出國;出国;chūguó;going abroad
570;出口;出口;chūkǒu;exit
571;出門;出门;chūmén;go out
572;出生;出生;chūshēng;born
573;出現;出现;chūxiàn;appear
574;出院;出院;chūyuàn;discharged from hospital
575;出租;出租;chūzū;rent
576;出租車;出租车;chūzūchē;taxi
577;船;船;chuán;boat
578;吹;吹;chuī;blow
579;春節;春节;Chūnjié;spring festival
580;春天;春天;chūntiān;spring
581;詞;词;cí;words
582;詞典;词典;cídiǎn;dictionary
583;詞語;词语;cíyǔ;words
584;從小;从小;cóngxiǎo;from childhood
585;答應;答应;dāying;answer
586;打工;打工;dǎgōng;work to earn a living
587;打算;打算;dǎsuàn;intend
588;打印;打印;dǎyìn;print
589;大部分;大部分;dàbùfen;most
590;大大;大大;dàdà;big big
591;大多數;大多数;dàduōshù;most
592;大海;大海;dàhǎi;sea
593;大家;大家;dàjiā;everyone
594;大量;大量;dàliàng;large amount
595;大門;大门;dàmén;main gate
596;大人;大人;dàren;grown ups
597;大聲;大声;dà shēng;loud
598;大小;大小;dàxiǎo;size
599;大衣;大衣;dàyī;overcoat
600;大自然;大自然;dàzìrán;nature
601;帶;带;dài;belt
602;帶來;带来;dàilái;bring
603;單位;单位;dānwèi;unit
604;但;但;dàn;but
605;但是;但是;dànshì;but
606;蛋;蛋;dàn;egg
607;當;当;dāng;when
608;當時;当时;dāngshí;at that time
609;倒;倒;dǎo;fall
610;到處;到处;dàochù;everywhere
611;倒;倒;dào;fall
612;道;道;dào;road
613;道理;道理;dàolǐ;reason
614;道路;道路;dàolù;the way
615;得;得;dé;have to
616;得出;得出;déchū;the conclusion is
617;的話;的话;dehuà;if
618;得;得;de;have to
619;燈;灯;dēng;lamp
620;等;等;děng;wait
621;等到;等到;děngdào;wait until
622;等於;等于;děngyú;equal to
623;低;低;dī;low
624;地球;地球;dìqiú;earth
625;地鐵;地铁;dìtiě;subway
626;地鐵站;地铁站;dìtiězhàn;subway station
627;點頭;点头;diǎntóu;nod
628;店;店;diàn;shop
629;掉;掉;diào;lose
630;東北;东北;dōngběi;northeast
631;東方;东方;dōngfāng;oriental
632;東南;东南;dōngnán;southeast
633;冬天;冬天;dōngtiān;winter
634;懂;懂;dǒng;understand
635;懂得;懂得;dǒngde;know
636;動物;动物;dòngwù;animal
637;動物園;动物园;dòngwùyuán;zoo
638;讀音;读音;dúyīn;pronunciation
639;度;度;dù;spend
640;短;短;duǎn;short
641;短信;短信;duǎnxìn;short message
642;段;段;duàn;part
643;隊;队;duì;team
644;隊長;队长;duìzhǎng;captain
645;對;对;duì;right
646;對話;对话;duìhuà;dialogue
647;對面;对面;duìmiàn;opposite
648;多;多;duō;many
649;多久;多久;duōjiǔ;how long
650;多麼;多么;duōme;how much
651;多數;多数;duōshù;most
652;多雲;多云;duōyún;cloudy
653;而且;而且;érqiě;and
654;發;发;fā;send
655;發現;发现;fāxiàn;discover
656;飯館;饭馆;fànguǎn;hotel
657;方便;方便;fāngbiàn;convenient
658;方便麵;方便面;fāngbiànmiàn;instant noodles
659;方法;方法;fāngfǎ;method
660;方面;方面;fāngmiàn;aspect
661;方向;方向;fāngxiàng;direction
662;放下;放下;fàngxia;lay down
663;放心;放心;fàngxīn;rest assured
664;分;分;fēn;point
665;分開;分开;fēnkāi;separate
666;分數;分数;fēnshù;score
667;分鐘;分钟;fēnzhōng;minute
668;份;份;fèn;share
669;封;封;fēng;seal up
670;服務;服务;fúwù;service
671;複習;复习;fùxí;review
672;該;该;gāi;the
673;改;改;gǎi;change
674;改變;改变;gǎibiàn;change
675;乾杯;干杯;gānbēi;cheers
676;感到;感到;gǎndào;feel
677;感動;感动;gǎndòng;touched
678;感覺;感觉;gǎnjué;feel
679;感謝;感谢;gǎnxiè;thank
680;幹活兒;干活儿;gànhuór;doing work
681;剛;刚;gāng;just
682;剛才;刚才;gāngcái;just now
683;剛剛;刚刚;gānggāng;just now
684;高級;高级;gāojí;advanced
685;高中;高中;gāozhōng;high school
686;個子;个子;gèzi;height
687;更;更;gèng;even
688;公共汽車;公共汽车;gōnggòng qìchē;public buses
689;公交車;公交车;gōngjiāochē;bus
690;公斤;公斤;gōngjīn;kilogram
691;公里;公里;gōnglǐ;kilometer
692;公路;公路;gōnglù;highway
693;公平;公平;gōngpíng;fair
694;公司;公司;gōngsī;company
695;公園;公园;gōngyuán;park
696;狗;狗;gǒu;dog
697;夠;够;gòu;enough
698;故事;故事;gùshi;story
699;故意;故意;gùyì;deliberately
700;顧客;顾客;gùkè;customer
701;關機;关机;guānjī;power off
702;關心;关心;guānxīn;care
703;觀點;观点;guāndiǎn;viewpoint
704;廣場;广场;guǎngchǎng;square
705;廣告;广告;guǎnggào;ad
706;國際;国际;guójì;international
707;過來;过来;guòlái;come over
708;過年;过年;guònián;chinese new year
709;過去;过去;guòqù;past
710;過;过;guo;pass
711;海;海;hǎi;ocean
712;海邊;海边;hǎi biān;beach
713;喊;喊;hǎn;call
714;好;好;hǎo;good
715;好處;好处;hǎochù;benefits
716;好多;好多;hǎoduō;many
717;好久;好久;hǎojiǔ;long time
718;好人;好人;hǎorén;good people
719;好事;好事;hǎoshì;good thing
720;好像;好像;hǎoxiàng;like
721;合適;合适;héshì;suitable
722;河;河;hé;river
723;黑;黑;hēi;black
724;黑板;黑板;hēibǎn;blackboard
725;黑色;黑色;hēisè;black
726;紅;红;hóng;red
727;紅色;红色;hóngsè;red
728;後來;后来;hòulái;later
729;忽然;忽然;hūrán;suddenly
730;湖;湖;hú;lake
731;護照;护照;hùzhào;passport
732;花;花;huā;flower
733;花園;花园;huāyuán;garden
734;畫;画;huà;painting
735;畫家;画家;huàjiā;painter
736;畫兒;画儿;huàr;painting
737;壞處;坏处;huàichù;disadvantages
738;壞人;坏人;huàirén;bad guy
739;歡迎;欢迎;huānyíng;welcome
740;換;换;huàn;change
741;黃;黄;huáng;yellow
742;黃色;黄色;huángsè;yellow
743;回;回;huí;return
744;回國;回国;huí guó;returning to china
745;會;会;huì;can
746;活動;活动;huódòng;activity
747;或;或;huò;or
748;或者;或者;huòzhě;or
749;機會;机会;jīhuì;opportunity
750;雞;鸡;jī;chick
751;級;级;jí;level
752;急;急;jí;urgent
753;計劃;计划;jìhuà;plan
754;計算機;计算机;jìsuànjī;computer
755;加;加;jiā;add
756;加油;加油;jiāyóu;come on
757;家（科學家）;家（科学家）;jiā (kēxuéjiā);home (scientist)
758;家庭;家庭;jiātíng;family
759;家長;家长;jiāzhǎng;parents
760;假;假;jiǎ;fake
761;假期;假期;jiàqī;holiday
762;檢查;检查;jiǎnchá;check
763;見到;见到;jiàndào;see
764;見過;见过;jiànguo;see
765;件;件;jiàn;item
766;健康;健康;jiànkāng;healthy
767;講;讲;jiǎng;speak
768;講話;讲话;jiǎnghuà;speaking
769;交;交;jiāo;pay
770;交給;交给;jiāo gěi;give to
771;交朋友;交朋友;jiāo péngyou;make friends
772;交通;交通;jiāotōng;transportation
773;角;角;jiǎo;horn
774;角度;角度;jiǎodù;angle
775;餃子;饺子;jiǎozi;dumplings
776;腳;脚;jiǎo;foot
777;叫作;叫作;jiàozuò;called
778;教師;教师;jiàoshī;teacher
779;教室;教室;jiàoshì;classroom
780;教學;教学;jiàoxué;teaching
781;教育;教育;jiàoyù;educate
782;接;接;jiē;catch
783;接到;接到;jiēdào;received
784;接受;接受;jiēshòu;accept
785;接下來;接下来;jiē xiàlái;next
786;接著;接着;jiēzhe;next
787;街;街;jiē;street
788;節;节;jié;festival
789;節目;节目;jiémù;program
790;節日;节日;jiérì;festival
791;結果;结果;jiéguǒ;result
792;借;借;jiè;borrow
793;斤;斤;jīn;catty
794;今後;今后;jīnhòu;from now on
795;進入;进入;jìnrù;enter
796;進行;进行;jìnxíng;conduct
797;近;近;jìn;close
798;經常;经常;jīngcháng;frequently
799;經過;经过;jīngguò;pass
800;經理;经理;jīnglǐ;manager
801;酒;酒;jiǔ;liquor
802;酒店;酒店;jiǔdiàn;hotel
803;就要;就要;jiùyào;it is about to
804;舉;举;jǔ;lift
805;舉手;举手;jǔshǒu;raise your hand
806;舉行;举行;jǔxíng;hold
807;句;句;jù;sentence
808;句子;句子;jùzi;sentence
809;卡;卡;kǎ;card
810;開機;开机;kāijī;power on
811;開心;开心;kāixīn;happy
812;開學;开学;kāixué;school starts
813;看法;看法;kànfǎ;view
814;考生;考生;kǎoshēng;candidates
815;靠;靠;kào;depend on
816;科;科;kē;division
817;科學;科学;kēxué;science
818;可愛;可爱;kě'ài;cute
819;可能;可能;kěnéng;possible
820;可怕;可怕;kěpà;horrible
821;可是;可是;kěshì;but
822;可以;可以;kěyǐ;can
823;克;克;kè;gram
824;刻;刻;kè;carve
825;客人;客人;kèrén;guest
826;課堂;课堂;kètáng;classroom
827;空氣;空气;kōngqì;air
828;哭;哭;kū;cry
829;快餐;快餐;kuàicān;fast food
830;快點兒;快点儿;kuài diǎnr;hurry up
831;快樂;快乐;kuàilè;happy
832;快要;快要;kuàiyào;soon
833;筷子;筷子;kuàizi;chopsticks
834;拉;拉;lā;pull
835;來自;来自;láizì;from
836;藍;蓝;lán;blue
837;藍色;蓝色;lánsè;blue
838;籃球;篮球;lánqiú;basketball
839;老;老;lǎo;old
